    x-values	     y-values
-1.38	 2.81
-1.28	 1.71
-1.27	 1.58
-1.12	 0.60
-1.06	 0.10
-0.99	 -0.33
-0.94	 -0.42
-0.94	 -0.42
-0.88	 -0.40
-0.88	 -0.59
-0.82	 -0.94
-0.80	 -0.86
-0.79	 -0.63
-0.72	 -0.35
-0.64	 -0.75
-0.62	 -0.88
-0.61	 -0.84
-0.57	 -0.91
-0.57	 -0.72
-0.53	 -0.71
-0.49	 -0.75
-0.47	 -0.61
-0.42	 -0.83
-0.42	 -0.74
-0.40	 -0.68
-0.38	 -0.63
-0.35	 -0.59
-0.34	 -0.20
-0.34	 -0.78
-0.33	 -0.68
-0.33	 -0.88
-0.31	 -0.65
-0.30	 -0.67
-0.26	 -0.60
-0.26	 -0.84
-0.23	 -0.53
-0.20	 -0.40
-0.19	 -0.52
-0.16	 -0.31
-0.13	 -0.57
-0.09	 -0.50
-0.05	 -0.43
-0.03	 -0.51
-0.02	 -0.45
-0.01	 -0.41
0.05	 -0.19
0.06	 -0.29
0.09	 -0.20
0.09	 -0.39
0.11	 -0.23
0.18	 -0.05
0.23	 -0.31
0.27	 -0.02
0.27	 -0.08
0.28	 -0.11
0.33	 -0.42
0.38	 -0.46
0.42	 -0.40
0.48	 -0.23
0.48	 -0.35
0.65	 -0.41
0.71	 -0.60
0.74	 -0.48
0.79	 -0.64
0.86	 -0.86
0.92	 -0.66
1.12	 -0.77
1.33	 -0.64
1.48	 -0.30
1.58	 0.10
