time (sec)	y (intensity)
0.055555556	0.016218816
0.111111111	0.016349322
0.166666667	0.01617214
0.222222222	0.015667635
0.277777778	0.015193737
0.333333333	0.015413799
0.388888889	0.015282884
0.444444444	0.015597283
0.5	0.014356576
0.555555556	0.015337017
0.611111111	0.016314203
0.666666667	0.01667631
0.722222222	0.016365954
0.777777778	0.016208979
0.833333333	0.016032482
0.888888889	0.015625553
0.944444444	0.015614942
1	0.015596083
1.055555556	0.015677123
1.111111111	0.015596789
1.166666667	0.015172085
1.222222222	0.015015765
1.277777778	0.01483719
1.333333333	0.015419198
1.388888889	0.016074007
1.444444444	0.01622873
1.5	0.016342202
1.555555556	0.015903977
1.611111111	0.01632163
1.666666667	0.016374301
1.722222222	0.016300702
1.777777778	0.015485005
1.833333333	0.014936111
1.888888889	0.015228993
1.944444444	0.014816413
2	0.015108989
2.055555556	0.014706582
2.111111111	0.015112706
2.166666667	0.016182768
2.222222222	0.016326318
2.277777778	0.015969517
2.333333333	0.015813096
2.388888889	0.015586564
2.444444444	0.015805234
2.5	0.015470033
2.555555556	0.014942695
2.611111111	0.015071239
2.666666667	0.015262614
2.722222222	0.015327746
2.777777778	0.014967071
2.833333333	0.014966857
2.888888889	0.016176308
2.944444444	0.016752146
3	0.016822512
3.055555556	0.0160967
3.111111111	0.016604346
3.166666667	0.016159416
3.222222222	0.016137653
3.277777778	0.016114013
3.333333333	0.015273574
3.388888889	0.015234433
3.444444444	0.014966003
3.5	0.014980259
3.555555556	0.015737152
3.611111111	0.016903724
3.666666667	0.017258382
3.722222222	0.016526364
3.777777778	0.016451271
3.833333333	0.017117756
3.888888889	0.016243132
3.944444444	0.015502423
4	0.016135767
4.055555556	0.015478163
4.111111111	0.015208755
4.166666667	0.015186683
4.222222222	0.016468887
4.277777778	0.016202659
4.333333333	0.016800942
4.388888889	0.016471159
4.444444444	0.016340788
4.5	0.016530235
4.555555556	0.016551661
4.611111111	0.016477909
4.666666667	0.01620935
4.722222222	0.015978691
4.777777778	0.015578613
4.833333333	0.015807483
4.888888889	0.01628906
4.944444444	0.017144459
5	0.017181213
5.055555556	0.016603351
5.111111111	0.017398889
5.166666667	0.016424478
5.222222222	0.016575697
5.277777778	0.016609544
5.333333333	0.016740168
5.388888889	0.016265182
5.444444444	0.016584833
5.5	0.016383098
