Data_ID	  time	       exp(x)
1	0.05	0.302652
2	0.1	0.981081
3	0.15	0.154144
4	0.2	0.081468
5	0.25	0.787403
6	0.3	0.181777
7	0.35	1.137704
8	0.4	1.664194
9	0.45	1.472506
10	0.5	0.515966
11	0.55	1.303018
12	0.6	1.515651
13	0.65	2.663548
14	0.7	2.299531
15	0.75	1.894537
16	0.8	2.654681
17	0.85	1.550803
18	0.9	1.968724
19	0.95	2.915583
20	1	3.023919
21	1.2	2.865188
22	1.4	2.937684
23	1.6	2.56408
24	1.8	3.37245
25	2	2.710923
26	2.2	3.522554
27	2.4	3.474254
28	2.6	3.990706
29	2.8	3.287066
30	3	3.889499
31	3.2	4.032953
32	3.4	3.246464
33	3.6	3.828122
34	3.8	4.598627
35	4	3.902374
36	4.2	3.734576
37	4.4	4.156901
38	4.6	3.827967
39	4.8	4.221572
40	5	3.964876
41	5.2	4.053336
42	5.4	4.321304
43	5.6	4.798805
44	5.8	4.368794
45	6	4.990858
46	6.2	3.175008
47	6.4	3.985898
48	6.6	4.348766
49	6.8	3.832414
50	7	3.630315
51	7.2	4.594232
52	7.4	4.608676
53	7.6	4.462872
54	7.8	4.530991
55	8	3.912545
56	8.2	4.112858
57	8.4	4.321664
58	8.6	4.043841
59	8.8	4.56594
60	9	5.594377
61	9.2	4.181962
62	9.4	4.757686
63	9.6	3.927232
64	9.8	5.124323
65	10	3.979716
66	10.2	4.578042
67	10.4	4.173462
68	10.6	4.747533
69	10.8	4.505677
70	11	4.486202
71	11.2	5.990675
72	11.4	4.208786
73	11.6	4.50781
74	11.8	5.879974
75	12	3.972109
76	12.2	4.828738
77	12.4	4.020594
78	12.6	5.080537
79	12.8	4.735193
80	13	4.903527
81	13.2	4.443903
82	13.4	4.711637
83	13.6	5.330851
84	13.8	3.462449
85	14	3.788618
86	14.2	4.818124
87	14.4	4.288
88	14.6	4.472079
89	14.8	3.876541
90	15	4.177212
91	15.2	4.432056
92	15.4	4.275655
93	15.6	4.209615
94	15.8	4.436135
95	16	4.17983
96	16.2	5.326114
97	16.4	4.164874
98	16.6	5.571893
99	16.8	4.479448
100	17	3.944459
101	17.2	4.364572
102	17.4	5.14467
103	17.6	5.208816
104	17.8	4.764324
105	18	4.8312
106	18.2	5.007174
107	18.4	3.964357
108	18.6	4.406115
109	18.8	3.784925
110	19	4.478419
111	19.2	5.18052
112	19.4	5.067459
113	19.6	5.855453
114	19.8	4.79765
115	20	3.638736
