    x1(mM)	      Zombies cured?
0.1277	  0
0.1692	  0
0.1902	  0
0.5511	  0
0.5544	  0
0.7568	  0
0.9215	  0
0.9636	  0
1.1260	  0
1.1260	  0
1.2898	  0
1.3110	  0
1.3217	  0
1.3951	  0
1.4126	  0
1.4275	  0
1.4425	  0
1.4646	  0
1.6556	  0
1.7978	  0
1.8054	  0
1.9584	  0
1.9694	  0
2.0151	  0
2.1972	  0
2.2090	  0
2.3528	  0
2.3624	  0
2.4779	  0
2.4983	  0
2.5770	  1
2.6418	  0
2.6506	  0
2.6685	  0
2.6848	  1
2.6896	  1
2.7192	  1
2.7790	  0
2.7827	  1
2.8355	  1
2.8445	  0
2.8602	  0
2.8771	  1
2.9242	  0
2.9563	  0
2.9866	  1
2.9881	  1
3.0260	  0
3.1089	  1
3.2270	  0
3.2819	  1
3.3409	  0
3.3469	  0
3.3512	  0
3.4247	  0
3.4250	  1
3.5082	  0
3.5314	  1
3.5738	  1
3.5764	  1
3.6438	  1
3.7146	  1
3.8167	  0
3.8267	  1
3.8541	  0
3.8695	  1
3.8909	  0
3.8918	  0
3.8920	  1
3.9165	  0
3.9441	  1
4.0961	  1
4.1140	  1
4.2330	  1
4.3825	  1
4.6747	  1
4.6796	  1
4.7429	  1
4.8297	  1
4.8458	  1
4.9811	  1
5.1054	  1
5.2004	  1
5.2449	  1
5.3627	  1
5.3807	  1
5.3870	  1
5.4439	  1
5.4961	  1
5.6787	  1
5.7015	  1
5.7446	  1
5.8559	  1
6.0112	  1
6.0366	  1
6.0745	  1
6.1910	  1
6.2202	  1
6.3992	  1
6.4391	  1
